timestamp,orders,revenue,channel
2026-01-01 08:00:00,15,168,takeout
2026-01-01 11:00:00,30,463.98,dine-in
2026-01-01 14:00:00,23,253.74,takeout
2026-01-01 18:00:00,48,657.1,delivery
2026-01-01 21:00:00,27,348.39,delivery
2026-01-02 08:00:00,15,173.04,takeout
2026-01-02 11:00:00,35,502.46,dine-in
2026-01-02 14:00:00,27,405.59,dine-in
2026-01-02 18:00:00,49,622.64,delivery
2026-01-02 21:00:00,32,425.49,delivery
2026-01-03 08:00:00,17,181.83,takeout
2026-01-03 11:00:00,40,592,dine-in
2026-01-03 14:00:00,31,362.82,takeout
2026-01-03 18:00:00,57,746.7,delivery
2026-01-03 21:00:00,37,572.24,dine-in
2026-01-04 08:00:00,17,187.54,takeout
2026-01-04 11:00:00,35,533.54,dine-in
2026-01-04 14:00:00,31,445.04,dine-in
2026-01-04 18:00:00,56,755.61,delivery
2026-01-04 21:00:00,32,406.62,delivery
2026-01-05 08:00:00,13,147.78,takeout
2026-01-05 11:00:00,27,381.62,dine-in
2026-01-05 14:00:00,24,268.8,takeout
2026-01-05 18:00:00,43,537.95,delivery
2026-01-05 21:00:00,24,314.4,delivery
2026-01-06 08:00:00,13,152.15,takeout
2026-01-06 11:00:00,27,393.61,dine-in
2026-01-06 14:00:00,21,320.12,dine-in
2026-01-06 18:00:00,44,567.75,delivery
2026-01-06 21:00:00,25,381.1,dine-in
2026-01-07 08:00:00,12,130.37,takeout
2026-01-07 11:00:00,29,435.64,dine-in
2026-01-07 14:00:00,22,235.31,takeout
2026-01-07 18:00:00,40,531.86,delivery
2026-01-07 21:00:00,26,325.27,delivery
2026-01-08 08:00:00,14,156.8,takeout
2026-01-08 11:00:00,31,479.45,dine-in
2026-01-08 14:00:00,24,349.87,dine-in
2026-01-08 18:00:00,44,602.34,delivery
2026-01-08 21:00:00,29,374.2,delivery
2026-01-09 08:00:00,16,184.58,takeout
2026-01-09 11:00:00,32,459.39,dine-in
2026-01-09 14:00:00,29,329.67,takeout
2026-01-09 18:00:00,52,660.76,delivery
2026-01-09 21:00:00,29,435.64,dine-in
2026-01-10 08:00:00,18,192.53,takeout
2026-01-10 11:00:00,37,547.6,dine-in
2026-01-10 14:00:00,33,510.38,dine-in
2026-01-10 18:00:00,60,786,delivery
2026-01-10 21:00:00,34,465.44,delivery
2026-01-11 08:00:00,18,198.58,takeout
2026-01-11 11:00:00,37,564.03,dine-in
2026-01-11 14:00:00,29,315.06,takeout
2026-01-11 18:00:00,60,809.58,delivery
2026-01-11 21:00:00,34,432.04,delivery
2026-01-12 08:00:00,12,136.42,takeout
2026-01-12 11:00:00,28,395.75,dine-in
2026-01-12 14:00:00,22,325.6,dine-in
2026-01-12 18:00:00,40,500.42,delivery
2026-01-12 21:00:00,26,384.8,dine-in
2026-01-13 08:00:00,12,140.45,takeout
2026-01-13 11:00:00,29,422.76,dine-in
2026-01-13 14:00:00,22,253.79,takeout
